,"(0, 0, 0, 1)","(1, 0, 0, 1)","(0, 1, 0, 1)","(1, 1, 0, 1)","(0, 0, 1, 1)","(1, 0, 1, 1)","(0, 1, 1, 1)","(1, 1, 1, 1)","(1, 0, 0, 0)","(0, 1, 0, 0)","(1, 1, 0, 0)","(0, 0, 1, 0)","(1, 0, 1, 0)","(0, 1, 1, 0)","(1, 1, 1, 0)"
"(0, 0, 0, 1)",1396,1,154,0,469,1,18,0,0,0,0,0,0,0,0
"(1, 0, 0, 1)",56,0,5,0,28,0,1,0,0,0,0,0,0,0,0
"(0, 1, 0, 1)",148,1,81,0,70,1,18,0,0,0,0,0,0,0,0
"(1, 1, 0, 1)",4,0,0,0,6,0,1,0,0,0,0,0,0,0,0
"(0, 0, 1, 1)",953,5,75,0,3109,8,178,1,0,0,0,324,0,26,0
"(1, 0, 1, 1)",42,0,1,0,155,3,10,0,0,0,0,16,1,2,0
"(0, 1, 1, 1)",90,0,20,0,420,2,94,1,0,0,0,41,0,10,1
"(1, 1, 1, 1)",4,0,1,0,25,0,5,0,0,0,0,0,0,0,0
"(1, 0, 0, 0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(0, 1, 0, 0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(1, 1, 0, 0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(0, 0, 1, 0)",0,0,0,0,295,3,15,0,0,0,0,3044,18,281,1
"(1, 0, 1, 0)",0,0,0,0,22,2,2,0,0,0,0,236,2,13,1
"(0, 1, 1, 0)",0,0,0,0,50,0,7,0,0,0,0,341,0,133,1
"(1, 1, 1, 0)",0,0,0,0,3,0,0,0,0,0,0,23,0,4,0
